loan_title,user_id,org_id,loan_package_id,package_name,brower_credit_score,amount,currency,status,amount_payable,principal_due,balance,penalty_due,charge_per_installment,no_of_installment,next_payment_date,payback_date,interest
ODGRCNJFPUIKAEQVYLMH,928,1799,134,UYWPLXKCSDQETOMZNRHA,3040,34000,DCAJMTZLWSNFOEXQRKPY,1,2596,50000,219,5000,444,GICPHJSNBLXMTAVWKYFQ,22-October-2021,22-October-2021,1886
HTSKNAPLWFVCJXRUDGBY,284,1020,156,JKVYWCGHZPEMOXUADFST,1927,34000,EISFCKOMZPLBJRHTVDAY,0,2026,50000,831,5000,202,KYLUCOFXVBDWNQPHETGS,22-October-2021,22-October-2021,1884
WFNXISAULPYKOQJCERBV,128,1685,170,DFNLEUGOICKVMZYHPQWJ,1177,34000,LNXOEJYKVQAWFHRUBPCG,2,2920,50000,54,5000,535,ODJQNEABSXTFYCRLKGHP,22-October-2021,22-October-2021,1266
GEOQUCDZAKNJPXSVLIRT,10,663,101,KHJGOLARMFZCXIYVBEWQ,2609,34000,FYSWKAXEIZHDOUQNLMTR,0,4298,50000,419,5000,692,ONUWCPSBVADRMXFLGYIJ,22-October-2021,22-October-2021,1173
XTAPMHWDJBCKGFLZYQSO,758,1056,107,TOGBXWESJFIDLMNPAQKU,3675,34000,HYSMUQNRIOKAWXBLDEZV,0,2763,50000,390,5000,366,AOUCGZIRDSYNLQBPWMTJ,22-October-2021,22-October-2021,1988
UAQSDWIEKCHGFTMZRJOB,16,638,166,XQLTAUKGSBNVHEROCPIM,2550,34000,PAIXKVQBEDHMOZTSWUCR,4,4683,50000,282,5000,502,ZONEIMJRKUPSTCDVGHXL,22-October-2021,22-October-2021,1285
KXBSNIOLYVQMAZTGPFWC,387,1707,198,PLTDYBSXMVHWUQNIRAEK,3403,34000,DYUREIPQMLXHFTNGJWBS,1,4307,50000,701,5000,520,GZJHIREPLKSTMXCYUWOA,22-October-2021,22-October-2021,1444
OGPSQUKZRBNLJHDYXVCT,581,1530,184,ROWJSQTLDVIAXHCYUBPF,2862,34000,AXQRUCHNILEZSPGWKVTD,1,3701,50000,215,5000,659,YLQIUMAZWRVJPOGKHETX,22-October-2021,22-October-2021,1733
AJPYHNFOUQSXTLVIEDBZ,577,567,193,GTQRDFBIUMPOVLWKCZNH,1620,34000,VZYASCTKHQDLOXBJUENG,1,4951,50000,4,5000,260,XMNULFVOCQWGTBDYZKEJ,22-October-2021,22-October-2021,1748
LQZKCYFGAIXEMSUODWBV,457,1529,111,ZLMTVAKFOJPHWCYSQRID,1428,34000,QJYTPNLFWHCKSGUXRAVZ,3,4252,50000,519,5000,406,DYQCRUMBLZPJHASVXEIK,22-October-2021,22-October-2021,1490
RFOYEQCPXKUMJADNGBHI,178,675,188,VHTAMLPNKZUJDGRXYQIB,3021,34000,ARQNCVBDJSFPIZMYEKHW,4,4135,50000,392,5000,941,TROIPSHQEFWYCJKUNZMD,22-October-2021,22-October-2021,1251
HEUOJCVXRZFYTMKLQASD,740,851,181,FMTAHZOVRUKQEWXNLIDP,1129,34000,DCHABTGLJRFPZXYQNOWU,2,3206,50000,302,5000,375,KZYTDUJQBOVHGIPLCXWN,22-October-2021,22-October-2021,1152
KLXRPNUHYMDIAFJVBEWO,508,1723,176,GXNBIFCYJWKOALHZEMDU,3462,34000,TIWQDVFHEMXBPGOUCKAN,3,2364,50000,597,5000,14,YDNAZOBIVJKCFSHXWUPG,22-October-2021,22-October-2021,1261
NMOFDJIALGQVKUHCRXZS,586,709,116,BEJYLQWCSRNKDTGAVFXU,2709,34000,WIRFMKTHOQNZBEXDGUAV,1,2694,50000,23,5000,349,FENXYWDTGVJSUCHRLZPA,22-October-2021,22-October-2021,1463
ERBLFPJOVKXCADGUHQWT,388,1647,168,VTCILFXDSQUJGEAPBWZN,3311,34000,YSEIZDFGXJRPTMOHVWAB,4,3298,50000,486,5000,680,JEOYUTPIADGZWNQCBVMK,22-October-2021,22-October-2021,1178
LPTXKVZMEDWNFHSBYICG,241,1112,157,HYVFDWERNBIQSJMOUKPX,3234,34000,NPTEHZIAQCRKOFDVWMSU,2,4003,50000,38,5000,575,QWXMUTVGIBREDLANJHPZ,22-October-2021,22-October-2021,1493
CDWQMUSBXVTLIHJPEFKN,732,1385,194,CVYTPLMXNEIAOUJQWFBH,2623,34000,IXPECGRQDOUTNHKASFBZ,1,3437,50000,570,5000,9,OSVHYEFGAQNDMZJTPCXR,22-October-2021,22-October-2021,1544
CTAUOIZHNVYWRFKBSMEL,271,1851,183,QCTFXYGPWHUBMKIONDZV,1653,34000,TWQJLDOBEIHCAYNMPXFV,0,3226,50000,367,5000,367,YGENSQKCAFPDRVLHWBXO,22-October-2021,22-October-2021,1533
DRHNIGEKXYSLUAPTCVJO,966,1206,155,FBRKQIAWTNYVLSCPHJEZ,2024,34000,OQULYVSHPWIANGZJXKCB,3,4800,50000,723,5000,985,HOGQYKBMUPNXDSRETLZA,22-October-2021,22-October-2021,1784
NAZYPOGSBRMHJWIUDLXT,524,1949,164,GWFLHCYREOKBISMNXVJP,2996,34000,VQXOSCNZGTFBLDUAMWJE,0,3221,50000,975,5000,712,TNJWSEHVOMYKQGABFZLP,22-October-2021,22-October-2021,1346
MJSKURZBTCPFYNLEIOAH,984,1888,198,NOFWGSEHCDRQVIULPJMZ,1256,34000,JOCXPFYKZEIBAQTNMUGD,4,4868,50000,400,5000,371,ODGVMAZJUWHQYREKFXBP,22-October-2021,22-October-2021,1641
BXWSRPIYDOFCNJZVQULE,639,1621,192,MLOWNSETFYBUKXHIGQCJ,3940,34000,KANEGBICPYWTMOHJRSZD,0,4324,50000,126,5000,799,JDWTKHNXCEYBALIVZPMS,22-October-2021,22-October-2021,1011
JWPQMAXIDVNBFOZUHETC,883,1906,161,QLMPSNVYBDWXJHEAFZOG,1327,34000,RQMYPICJLXTFGKZHVBOE,1,4636,50000,507,5000,635,YRZNBQGIELJKASFXTUMC,22-October-2021,22-October-2021,1274
MDQAJUTOPVKRSYWFZLEG,249,672,144,DBFOJUVECHNWMKSXTPAZ,3687,34000,FCMYIOXNSUWBHQDJKAEZ,2,2133,50000,42,5000,90,QGMSNDBYKFXJZLCEAPOW,22-October-2021,22-October-2021,1657
TLDYJBOMRPZVGCHFKWXU,98,1636,124,YTQJKBOGUPRCXWIMZALN,3728,34000,GVWNUSKFJQEIZOCBYAPT,1,3090,50000,500,5000,427,ACLNZSRYWTIJEXGDBFPM,22-October-2021,22-October-2021,1453
VAIDFTRUHMBCXPEKYGJQ,61,552,146,JOTXHEQZSAVNYFCLRPGI,3530,34000,ZUSVNFQAIHGKEPJXRYTB,4,2242,50000,677,5000,116,JESXWACUPYVGZMQTRNBI,22-October-2021,22-October-2021,1114
OMXCRUPVHSBDLFZJANQK,561,1325,123,TXADIPJBLWURQSVEZFGC,2033,34000,JNYHBQCVXPFKODTWZGUI,1,2086,50000,155,5000,591,DMLQBNESFUHZTKIGVARY,22-October-2021,22-October-2021,1871
GTBJWKZIOYEVHLMSPDAF,355,640,183,BWHRGPOEUAVJNQSIMLKZ,1966,34000,NLSIRBWZUJOKYXCTDMVG,3,2382,50000,755,5000,999,ZDEQPRLUJCMWBVAIOYSN,22-October-2021,22-October-2021,1001
XBQRPMKUHYFZCIASDETW,267,1580,199,HQFDNREUICJVBAWPXOKS,2307,34000,KEOUGIVFPMSTWZNCAHDJ,4,3657,50000,734,5000,671,KJPCAFBYQHIRXWLGUNTO,22-October-2021,22-October-2021,1809
ZMACXTIDYSHNKOGVFJBP,494,1230,138,IAGUBDCJPSQOTYLWZHVM,1458,34000,NJFZYEQHATBPUOCMIKRL,4,4225,50000,496,5000,569,PFLKWNJYHREMVOIZGXUB,22-October-2021,22-October-2021,1319
OZGIKRVBCQUHWDNETYLF,548,790,144,CFHXJOEDWLIUTPNQZVGR,1049,34000,NKDSMQCTRPGWIFZUJOYL,0,2701,50000,811,5000,592,AWHRLVKIYNTSEZMOGXCJ,22-October-2021,22-October-2021,1280
YIWEZCUXJOKSVFMTALGN,813,1204,146,IWNGRUJYXFKZCBLTDEHQ,1703,34000,UEOKCBIQFZMGLWVAYNSH,1,2632,50000,888,5000,32,OYGWCXSNUKRTFJMEDVPQ,22-October-2021,22-October-2021,1161
WJQFHYPISXMNEOTZBRKL,325,1560,111,VMNOEADKGWSFXCYUTQJL,2257,34000,PEDBOXZIAGQWFUSRCMTL,0,4039,50000,475,5000,196,BENDTLZIPVKFXGHSQOYA,22-October-2021,22-October-2021,1785
LQYIDFNMCPUATHXRBZWE,920,604,103,UERKONVMZTFCYXGPIBAD,1370,34000,BMLIYOEZNHCXDUSRAWPG,3,3765,50000,60,5000,475,YHUDNVBGARXKFEWTIOCS,22-October-2021,22-October-2021,1228
NKHVZIGEYUQOWJTXBLPM,732,1958,170,JTUMSGWIHXQNZRVDFEAO,2236,34000,BRLPNWEFCAHGTSDVZJKQ,4,2838,50000,653,5000,244,CDLPOAXITQRVYWKGJBSZ,22-October-2021,22-October-2021,1493
NAUQICJOGPEMYRFBKVTZ,211,846,175,UGTMNZWSYRBPDFQKJHAX,3103,34000,NKEYBOTLXRUWPJIGCFDA,0,3775,50000,439,5000,93,GUYRFWBDPKIEOSLTACQZ,22-October-2021,22-October-2021,1946
TPGUJAFOVKQYNHWZRBDI,190,838,151,HOATILKVZXBRCWQSMFYD,2431,34000,EBJKSOZRQUNGVYCMTLAW,2,3760,50000,721,5000,345,GFLCDYPRHQVTJAEIZWOB,22-October-2021,22-October-2021,1857
OLSYFNBEXTKUCVAZPMDR,74,1296,112,WTZFIUJELOPSQRNGHMVB,3915,34000,GIRUKBHQPSNJEVLCMYAD,1,3648,50000,152,5000,253,QSLMDIYJXEHUCKBRZOGV,22-October-2021,22-October-2021,1986
UYRVNPITBXSDQCEOLJMW,554,1509,156,BJUDCQYIWKLXSHAFVPOZ,3478,34000,JGEYUSTFONBWXHPCKRDL,2,3539,50000,872,5000,938,DWALCYPXUBZQRKJEGOTS,22-October-2021,22-October-2021,1697
HJQDEIBMFNOXKVGYUZPR,559,1995,156,QWOGHIXJYZPCKLDARNTS,1337,34000,DHGSPNWBYIZKJXQLRTUE,0,3981,50000,684,5000,403,WTYLURGVCXDSKQNZHEIA,22-October-2021,22-October-2021,1088
YSCZMPFLDGHKJBTOAVQX,172,660,121,ZTJVGUPSBQNDREMXIHCW,1347,34000,BRGDIXOPZHVUAJTEFMLQ,4,2920,50000,940,5000,715,LOMXRJHVYBQNZFWKITDA,22-October-2021,22-October-2021,1976
BJNUQYPZGWKAOMTLDSCV,418,1377,198,OUNCFDEMYBIZWAQJLGTX,1152,34000,VAZQBHXSJDFNLKRYMOPE,2,4424,50000,708,5000,89,LNIZSOURJYMGPFTHAKQE,22-October-2021,22-October-2021,1811
YEFCUZMSKBHLQIVXOTAJ,331,1385,106,WRVCNEYTPJKHDBLIOGSQ,1289,34000,TVPAIKJMHQWSCBDZUOFY,2,4327,50000,627,5000,598,CUWOMHKANZBRJQVYTEDL,22-October-2021,22-October-2021,1431
GLEIWHAJROVYBDUNFZMK,382,1305,145,NUIJOZMWFTCQGLSVYDKR,2965,34000,DSVMHJQXCOEPLUZWAIGR,1,4241,50000,790,5000,595,TAPBXRFZVUWKLQGDYISC,22-October-2021,22-October-2021,1665
ITCEQNMOAJPDYGBHXKZF,128,1210,186,OJXAVCLKIBETDHPWFUSM,1214,34000,PZCGYHVLIJFTRBUNWQOE,2,3960,50000,537,5000,424,KNJABTIRCPMHGDFEOXLZ,22-October-2021,22-October-2021,1358
CAVUYWFKGTHJMDIEQLZB,782,1812,169,SZYLINKEVDPHGJWOMTAF,1054,34000,ORHWPZCVELMKSXYGAFJN,0,4271,50000,787,5000,190,OQDKLFHGWAPYJRIEBXTC,22-October-2021,22-October-2021,1688
ISLDOPEBWMTVJXFGCAZK,646,899,118,LDJYKNASHIRBQPEVXUWT,1076,34000,GCMEXITUHQSYLNFPOJVB,2,2873,50000,331,5000,802,WVIOBSUYKPCTDQMXHJLZ,22-October-2021,22-October-2021,1692
KXRLGOBNIDVWQAZHCPMU,133,1710,121,WEOKADZPXYGIHUNMLQRS,1521,34000,GFIEVTUNKLXYMWRSPCHQ,4,4620,50000,984,5000,192,CPQZRLNGVHEXWYJTOSMD,22-October-2021,22-October-2021,1289
ERADPXCBMIUQKSYTZGFH,236,1805,134,VKQWGSFLRHPXAMUYTJDC,1934,34000,GJKUPECWQXNOHADSIVZM,0,2422,50000,26,5000,216,JGTDCNXSPFVIMOYZHAEU,22-October-2021,22-October-2021,1316
XPLIJQCRWZUEVMGTNHSO,824,678,157,VXHIRJNWFTBKYQZOCGLM,3339,34000,FQVNKTSAHIDMPCRLWZUJ,2,3721,50000,322,5000,403,JCQPLOEMZKUGDXBWTRVN,22-October-2021,22-October-2021,1282
UQXZAERYONMJPLBGHCTD,565,813,145,TRAWXKZLNDFCJHMGPOEI,3374,34000,CROLDVJISBZGQEHPMKAT,3,3205,50000,256,5000,946,SOQZMCWDEUIFTLAXYKPN,22-October-2021,22-October-2021,1083
SBLWNIEOQGZAPDHYVJTF,347,531,199,DLAOBQKIUCNJHWVZPXSE,3708,34000,BZAQWOEYTJCDGSPHNMLV,3,4687,50000,213,5000,959,HTADQGJLMNRCPZFVKEWO,22-October-2021,22-October-2021,1753
DPKZCIFEBQYJGALHXRWV,781,1406,123,ALNYXRUHTQKFWZJBMDIV,2854,34000,WXMCJOESPLUFAVYNGZIB,2,2554,50000,791,5000,93,XSGVLUPABTZRFNKIJOEH,22-October-2021,22-October-2021,1629
RVBWPGJDIEMSQUNZLCXY,493,1633,194,UAWFBKIDEXHRCLSYJQPO,2824,34000,VGBDNXKSERLWCJFYQOZM,4,3158,50000,366,5000,244,SANXLVTORKDWGMHQFBZE,22-October-2021,22-October-2021,1068
MBXSCTKROPDIEGQJVLWF,380,979,110,BDHNOAKZFULIQVPRETSJ,2165,34000,OTZGFYVKAWQXURMLHBCJ,3,2666,50000,60,5000,231,APOYBKZRCFNHXVMJQISL,22-October-2021,22-October-2021,1530
CZKPSMYNJBIOLXWGFUVR,766,1962,161,GZISYTWBPHRDVCFMQXUE,1045,34000,YNRGVMKZCFXDTIJPWSQU,0,3014,50000,527,5000,401,FVIXYOMUETRDJNWLCBAS,22-October-2021,22-October-2021,1130
BFRHYNITZCAMLVUPDSEW,18,1518,187,IAJTELGXKZBWOVUMQSHR,1991,34000,GQTXFAHNZMVEWLYOCPUR,3,3315,50000,775,5000,898,SGQBCOPIDKZHNJYFEVUW,22-October-2021,22-October-2021,1648
UKZTHLOMAEJQFWBSRCVY,174,686,183,XZGTRSFOCYAKEVHMWINP,3725,34000,PZCUJMHKLVFQTORDEXIB,2,3541,50000,960,5000,604,GKYTLWVIBAOMJDFRCSPZ,22-October-2021,22-October-2021,1725
SVNZOABWYXUQDRCFPKLT,857,1757,192,PTGSMWEZNBHXRYDOCKJU,1515,34000,CXJTKPYBVFAOISHNDUEQ,0,4132,50000,268,5000,302,UWSYBANJPTMGHDVFXCLI,22-October-2021,22-October-2021,1281
PYSXERIJTQUAZLMHNVFD,988,1984,149,LNSPQWXMKIEBHVTZAYDG,2698,34000,YSLEFOQTVMPZGKRCXDBW,3,4525,50000,892,5000,485,QEYUCLWHRXVOBGPJFDNI,22-October-2021,22-October-2021,1574
QNLHWRXGBUEITMJOZKFA,395,1101,154,VMKBLHXOPZQUIYEDSTCJ,1282,34000,UVXRGQIWZOHDFBLYEMAC,0,3222,50000,381,5000,787,KFGQXMZLCTWSPBYUIADH,22-October-2021,22-October-2021,1922
FSODJBYIKNQMAUGVHERP,16,1307,138,MBPFDWILHTNEOKZCXQSV,2379,34000,EJTUHQYPNGAXDKZLMBSF,2,3958,50000,683,5000,479,PFAZCJXMHGUIDSBQVLRN,22-October-2021,22-October-2021,1730
PTDHKJXZEABVRFCUOLYM,26,1404,167,FEQYABVOWIUXTJPMRHCK,3454,34000,LDZEHCIWYGORUSNBKMVF,4,4841,50000,116,5000,499,NWGSUEYRXLOFDPCZTHAV,22-October-2021,22-October-2021,1478
SWIDNGKJTVAQCELHURPO,120,965,111,IJUEWTYRVXPSCFHLMZKO,1916,34000,FLOBYIMUKERQDVJWPSXC,1,2564,50000,400,5000,870,AHTVZPOKNCJGDLMISYBE,22-October-2021,22-October-2021,1995
NPLCUAQKSOVZMGEFYTJH,356,862,168,NXQBMTLPSJAHWYGKCUDZ,2419,34000,NAEIHSGLMUBVXDTFPKRO,0,3558,50000,78,5000,991,WASPNIHFRUJMVBZLKOXG,22-October-2021,22-October-2021,1490
OPTYEVNCRBFLJDQKGXIS,138,1877,136,APHYTLFQVWEUORZNDBGC,1749,34000,EALBHROQNTKZJFGUDPVI,4,4630,50000,466,5000,895,RXZJSPNEGKQAIBUDTFHW,22-October-2021,22-October-2021,1325
VUMGRWIPTJNQOYSDBKHX,640,967,183,KUZWIENMXACOLTPBRYJG,3562,34000,GKEUTLRYZSNIVQOHBXPF,0,2227,50000,618,5000,585,QKCWRPTGSIXALMZUOVDN,22-October-2021,22-October-2021,1412
KIJDXUACTPMEVNGROFBW,744,1784,148,FCKJVESYOWQGBZDITRLU,2615,34000,GVKPFICZQUTDLJNAOWRS,3,3428,50000,978,5000,416,HRMWQOGAYNBJXDCIFSZU,22-October-2021,22-October-2021,1135
MCPHJORVEIDAUGLNZTWF,148,1106,189,BMFERYQIOHUASGXTVDLZ,3431,34000,CMNXREBLFWIJAVOPUSKQ,0,4254,50000,349,5000,871,NGHPREUZBQIWLVKCOTDM,22-October-2021,22-October-2021,1687
ODMYWVPLFGSEQATZHJRB,780,959,145,RVCEUXNDALBZFKHGOSIQ,1032,34000,WINPCVJTRQUYGEDAKZSH,0,3682,50000,296,5000,55,IOJYAWPLSKXRUEBQDMNG,22-October-2021,22-October-2021,1445
XGOPQLCBRUHSVMWNAEDZ,647,1159,112,GRCUQWHLDVOBZAIFTENP,2862,34000,ATKRFVCLYIMJZSBUXWGP,0,4319,50000,109,5000,872,LXGERAFNBMODSIWZPKCY,22-October-2021,22-October-2021,1807
EHFIPYKRJQNBMLDXAGOC,632,503,126,VAWDEZRUBXFHNPGILQYM,1748,34000,HTUKMQXIEVFJCRBZONDL,0,3385,50000,921,5000,780,SEUFZKAHTJYORBPWDXIQ,22-October-2021,22-October-2021,1512
LTWGSQKIDEBPNZRCFHOM,608,1141,192,OAQEZSGTBXMDNVKYJIRF,1935,34000,CSFPJBYWHQRZLAIXVKTG,4,3777,50000,941,5000,573,HUXVSNFYAJDOIRGTLCBE,22-October-2021,22-October-2021,1374
QNVRGUKSZIDOEXBYWAJM,664,998,144,LRQEFJAZKUSPOWYTIXDC,3288,34000,BTQFVHPRUACMIJLOZXGE,3,3555,50000,738,5000,913,CAKZEWGDPHOUBMRJVYLI,22-October-2021,22-October-2021,1169
VUKJIESCRXFAZYOLNMHQ,843,810,186,RCYABMHQZJXKEUITVWDP,1317,34000,YLKZIOWMNVPDAHXBJUFC,0,2490,50000,288,5000,196,YOWGDSRAMVCHPQIXJUFK,22-October-2021,22-October-2021,1235
SMKQRDAEHJLXWZUGPTCO,38,1670,173,XFTNJWEQCKSIARMYLBVO,1354,34000,POXJIEWFHMLGRCVYDAUT,2,2917,50000,166,5000,641,GOYNBQJRZCIXLDWVSHUT,22-October-2021,22-October-2021,1485
QNZDFGOCEMJVBKPIWLUX,511,1170,187,MCBOXYRFJGUZNAPIKWQT,1757,34000,IUPQRTYFKEVMGZXSCDBW,0,4507,50000,477,5000,705,EKOIHZUVTNBDAWMRXQYG,22-October-2021,22-October-2021,1253
XEWUNAYGCMZDFIJLRPKH,217,1966,152,INRFJSEQZHWUDOLCMTKP,2374,34000,QJMCWNRXPOSVYTUFHBLK,1,2104,50000,824,5000,822,ZYMSPCLKUBIVQDEJHNXT,22-October-2021,22-October-2021,1893
WMNIZJVLTXRDFUQGHEKB,300,543,130,QKZFHBYDVARMJTXCOGEW,2945,34000,KBRUJZMYNPTVCADHIOXW,4,3202,50000,341,5000,346,EZJNQHXICUWKFVRGAMOD,22-October-2021,22-October-2021,1817
SFBLQYEJROMTXZCHPVDG,849,892,194,FKLMBHZTOCNEYWQIAXUG,3260,34000,SPEBQDAZTFRXHOWGYVNJ,4,4426,50000,577,5000,582,PTWFGDQMZOICVNHJLABS,22-October-2021,22-October-2021,1460
PSGVQFZYIOACRNEHBKXJ,963,923,164,XTFNLEJRSHQUCKMOVIBZ,1165,34000,LYJDEKNTAUVFQZCMWISR,2,2643,50000,286,5000,289,UKLJQDCEIBNVXAZRHOGM,22-October-2021,22-October-2021,1004
SEORGVZJPLIXAFHYBNTU,40,1250,124,XBDWFPVYOJNMUCQSTGLZ,2097,34000,DYRAZQPEULSINMWHGCVJ,1,3871,50000,150,5000,225,PBOHJYSDTANXVGIZCREL,22-October-2021,22-October-2021,1778
LHCFMUNBRVTDZKOGPEAJ,350,1645,147,UGBFXRIEZMLTKNAQYDVS,2685,34000,DPMASFVIEZOCNJYGXRQT,2,3620,50000,352,5000,422,KJLSCFDUBRAPHTZEVYOM,22-October-2021,22-October-2021,1719
CYUJKQITSADVHMRGXZLO,805,782,193,ICOLDJEBKTGYQAFWNSMP,3708,34000,KMBAICSYNLOXPWREFVJG,0,2416,50000,58,5000,117,AHMRJLUOCZGISXNBFDPK,22-October-2021,22-October-2021,1156
EYUDVLNTGMBPKXCZFWJI,145,1727,115,HOIZGSXYTKQJWLUVREAB,2242,34000,SHRQTWGJDNVCMXYOEFBA,0,2476,50000,330,5000,662,YLVFBUIHCZWASXDPJRTN,22-October-2021,22-October-2021,1318
WVSDAHXIZTJFBLRPEKCO,936,610,105,EZLQCTNUSXHDGRKJAMYV,3009,34000,HVMGFWCPXRIBNQOSKZAD,3,4152,50000,914,5000,768,XJTVWNGEUICFQMAOBDHP,22-October-2021,22-October-2021,1802
